epoch, batch, loss, loss_f, f_mae, f_rmse
    1,     1,          0.55474,          0.55474,           18.004,           23.461
    1,     2,           1.5396,           1.5396,           25.558,           39.085
    1,     3,          0.88838,          0.88838,           22.538,            29.69
    1,     4,           1.1599,           1.1599,            26.47,           33.925
    1,     5,          0.63984,          0.63984,           20.004,           25.197
    2,     1,          0.51049,          0.51049,            16.87,           22.506
    2,     2,           1.1122,           1.1122,            25.81,           33.219
    2,     3,           1.4523,           1.4523,           24.844,           37.961
    2,     4,          0.75626,          0.75626,           20.893,           27.393
    2,     5,          0.57791,          0.57791,           19.179,           23.946
    3,     1,          0.46886,          0.46886,           16.025,           21.569
    3,     2,          0.54593,          0.54593,           18.672,           23.274
    3,     3,           1.3516,           1.3516,           24.123,           36.621
    3,     4,          0.58679,          0.58679,           18.483,           24.129
    3,     5,          0.92782,          0.92782,           23.299,           30.342
    4,     1,           1.2496,           1.2496,           23.326,           35.213
    4,     2,          0.44081,          0.44081,           15.152,           20.914
    4,     3,           0.4684,           0.4684,           16.943,           21.558
    4,     4,          0.76565,          0.76565,           21.549,           27.563
    4,     5,          0.37366,          0.37366,           14.931,           19.255
    5,     1,           1.0444,           1.0444,           21.338,           32.192
    5,     2,           0.6195,           0.6195,           19.574,           24.793
    5,     3,          0.48482,          0.48482,           15.655,           21.933
    5,     4,          0.46264,          0.46264,           16.086,           21.425
    5,     5,          0.27405,          0.27405,           12.361,            16.49
    6,     1,          0.44499,          0.44499,           14.534,           21.013
    6,     2,           0.8901,           0.8901,           19.281,           29.718
    6,     3,           0.2174,           0.2174,           11.149,           14.687
    6,     4,          0.45753,          0.45753,           17.326,           21.307
    6,     5,          0.37205,          0.37205,           13.974,           19.214
    7,     1,          0.81469,          0.81469,           18.683,           28.432
    7,     2,          0.32633,          0.32633,           14.333,           17.994
    7,     3,          0.36157,          0.36157,           14.582,           18.941
    7,     4,          0.22155,          0.22155,           11.972,           14.827
    7,     5,          0.34697,          0.34697,           12.936,           18.555
    8,     1,           0.1588,           0.1588,           10.461,           12.553
    8,     2,          0.32452,          0.32452,           12.186,           17.944
    8,     3,           0.6894,           0.6894,            17.74,           26.154
    8,     4,          0.26292,          0.26292,           13.367,           16.152
    8,     5,          0.29802,          0.29802,           13.411,           17.196
    9,     1,          0.10967,          0.10967,           8.3825,           10.432
    9,     2,          0.18835,          0.18835,           10.714,           13.671
    9,     3,            0.288,            0.288,            12.74,           16.905
    9,     4,          0.60071,          0.60071,           15.995,           24.414
    9,     5,          0.30536,          0.30536,           11.744,           17.407
   10,     1,          0.12599,          0.12599,           8.5942,           11.181
   10,     2,          0.51635,          0.51635,           14.829,           22.635
   10,     3,          0.16261,          0.16261,           9.7506,           12.702
   10,     4,          0.34304,          0.34304,           12.899,           18.449
   10,     5,          0.30701,          0.30701,             13.2,           17.453
