epoch, wall, LR,training_loss_f,training_loss,training_f_mae,training_f_rmse,validation_loss_f,validation_loss,validation_f_mae,validation_f_rmse
         1,    7.429,     0.01,           0.9565,           0.9565,         22.5,         30.8,           1.0258,           1.0258,         23.8,         31.9
         2,    9.559,     0.01,          0.88183,          0.88183,         21.5,         29.6,          0.98445,          0.98445,         23.2,         31.3
         3,   10.635,     0.01,           0.7762,           0.7762,         20.1,         27.8,          0.94357,          0.94357,         22.5,         30.6
         4,   11.710,     0.01,          0.65963,          0.65963,         18.4,         25.6,          0.86421,          0.86421,         21.2,         29.3
         5,   12.806,     0.01,          0.57709,          0.57709,           17,         23.9,          0.76485,          0.76485,         19.4,         27.5
         6,   13.864,     0.01,          0.47642,          0.47642,         15.3,         21.7,          0.66088,          0.66088,         18.1,         25.6
         7,   14.971,     0.01,          0.41422,          0.41422,         14.5,         20.3,          0.53707,          0.53707,         16.1,         23.1
         8,   16.053,     0.01,          0.34673,          0.34673,         13.4,         18.5,          0.48074,          0.48074,         15.3,         21.8
         9,   17.153,     0.01,          0.29842,          0.29842,         11.9,         17.2,           0.4525,           0.4525,         14.7,         21.2
        10,   18.320,     0.01,            0.291,            0.291,         11.9,           17,          0.43648,          0.43648,         14.2,         20.8
